iter	Passed	Remaining
0	55	55711
1	56	28323
2	57	19237
3	58	14687
4	60	11941
5	61	10137
6	62	8846
7	63	7905
8	64	7133
9	65	6511
10	66	6002
11	67	5593
12	68	5228
13	69	4912
14	70	4644
15	71	4403
16	72	4189
17	73	4002
18	74	3830
19	75	3678
20	76	3555
21	77	3439
22	78	3326
23	79	3219
24	80	3126
25	81	3038
26	81	2953
27	82	2876
28	83	2802
29	84	2735
30	85	2672
31	86	2612
32	87	2558
33	88	2509
34	89	2470
35	90	2430
36	91	2390
37	92	2350
38	93	2311
39	94	2277
40	96	2245
41	96	2211
42	97	2178
43	98	2147
44	99	2117
45	100	2087
46	101	2061
47	103	2044
48	104	2027
49	105	2007
50	106	1985
51	107	1966
52	108	1946
53	109	1926
54	111	1907
55	112	1891
56	113	1874
57	114	1857
58	115	1840
59	116	1827
60	117	1815
61	119	1800
62	119	1784
63	120	1767
64	122	1755
65	123	1742
66	124	1729
67	125	1716
68	126	1704
69	127	1692
70	128	1679
71	129	1667
72	130	1657
73	131	1651
74	132	1639
75	133	1626
76	134	1613
77	135	1601
78	136	1588
79	137	1577
80	138	1566
81	138	1555
82	139	1541
83	140	1530
84	141	1519
85	142	1510
86	143	1500
87	144	1494
88	145	1486
89	146	1479
90	147	1470
91	148	1466
92	149	1462
93	150	1453
94	151	1445
95	152	1436
96	153	1427
97	154	1419
98	155	1414
99	157	1413
100	158	1406
101	160	1411
102	161	1406
103	162	1400
104	163	1394
105	164	1388
106	165	1383
107	166	1377
108	168	1374
109	169	1369
110	170	1364
111	171	1360
112	172	1357
113	174	1358
114	175	1353
115	177	1351
116	178	1343
117	179	1338
118	179	1332
119	181	1327
120	182	1322
121	182	1315
122	183	1311
123	185	1308
124	187	1312
125	189	1312
126	190	1308
127	191	1303
128	192	1298
129	193	1293
130	194	1288
131	195	1283
132	196	1278
133	197	1273
134	197	1268
135	199	1265
136	200	1263
137	201	1259
138	202	1255
139	203	1252
140	204	1247
141	205	1240
142	206	1237
143	207	1232
144	208	1228
145	209	1223
146	210	1219
147	211	1215
148	212	1210
149	213	1210
150	214	1207
151	215	1204
152	216	1200
153	217	1196
154	219	1194
155	220	1191
156	221	1187
157	222	1183
158	222	1179
159	223	1175
160	224	1169
161	225	1165
162	226	1162
163	227	1160
164	228	1156
165	229	1153
166	230	1149
167	231	1145
168	232	1141
169	233	1138
170	234	1134
171	234	1131
172	235	1127
173	236	1123
174	237	1119
175	238	1116
176	239	1112
177	240	1111
178	242	1112
179	243	1109
180	244	1108
181	245	1105
182	246	1102
